label	text
oos	peso là đơn_vị_tiền_tệ của nước nào
oos	đấu_trường la mã được xây_dựng ở thành_phố nào của italy
oos	aids là gì
oos	barack obama là tổng_thống thứ mấy của hoa_kỳ
oos	thủ_tướng mỹ là ai
oos	tên chính_thức của đài_loan là gì
oos	vua nào ở ngôi lâu nhất và thọ nhất của nhà hậu lê
oos	kinh_đô nhà đinh tiền lê_nằm ở tỉnh nào hiện_nay
oos	phần mềm có giới hạn người dùng không
oos	dân_số việt_nam đứng thứ mấy trong khu_vực châu_á
oos	quần_đảo hoàng_sa có bao_nhiêu đảo lớn_nhỏ
oos	pháp kí hiệp_ước paris với việt_nam vào ngày_tháng năm nào
oos	nơi nào có kim_tự_tháp bằnh kính
oos	vua nào lập_quốc hiệu nước ta là đại cồ việt
oos	tên bài võ nổi_tiếng của võ văn dũng còn đến ngày_nay
oos	trường hogwarts đào_tạo gì
oos	tổng_giám_đốc của mazda là ai
oos	ngoài sông hương ngọn núi nào còn là biểu_tượng của xứ huế
oos	kể tên các hòn đảo ở vịnh bắc_bộ
oos	tên chính_thức của nước úc là gì
oos	loài vật nào được xem là biểu_tượng của giới thượng_lưu ở uae
oos	trần đại quang sinh ra ở đâu
oos	huyện đảo phú_quý thuộc tỉnh nào
oos	""" phong_cầm "" là tên khác của loại nhạc_cụ nào"
oos	trấn thành là ai
oos	lê_uy mục bị ai lật_đổ
oos	tình_trạng tham_nhũng của nước ta hiện_nay
oos	méxico giáp với những quốc_gia nào
oos	hình lục_giác có mấy cạnh
oos	đế_quốc la mã sụp_đổ vào thời_gian nào
oos	cảng lớn nhất trung_quốc là cảng nào
oos	nếu mua phần mềm bên misa hỗ trợ như thế nào? trực tiếp hay online?
oos	hội_thánh của đức chúa_trời hiệp_hội truyền_giáo tin lành thế_giới còn được gọi là gì
oos	nhà_thờ con gà ở đà_lạt còn có tên gọi là gì
oos	thức_ăn ưa_thích của cá nhà_táng
oos	cuộc cách_mạng_công_nghiệp xảy ra khi nào
oos	tên gọi tinh_vân tinh_tú ngân_hàng bắt_nguồn từ đâu
oos	ethiopia thuộc khu_vực nào của châu_phi
oos	giải_thưởng emmy là giải_thưởng cao_quý của thể_loại giải_trí nào
oos	con sông lớn thứ hai của nam mỹ là sông nào
oos	sông sài_gòn bắt_nguồn từ tỉnh nào
oos	phụ_nữ ở mỹ có quyền bầu_cử từ năm nào
oos	địa_hình chủ_yếu của tỉnh khánh_hoà là gì
oos	tên gọi nhật_bản nghĩa_là gì
oos	tháp truyền_hình cao nhất thế_giới thuộc_quốc_gia nào
oos	gia long còn có tên gọi khác là gì
oos	tỉnh duy_nhất ở khu_vực bắc trung_bộ có 2 thành_phố thuộc tỉnh
oos	sông amazon chảy qua nước nào sau đây
oos	những quốc_gia đang sở hửu vũ_khí_hạt_nhân trên thế_giới
oos	vua nào đã đổi quốc_hiệu việt_nam từ đại cồ việt sang đại việt
oos	ký_hiệu hoá_học thuỷ_ngân là gì
oos	"ai là người đã dâng vua "" thất trảm sớ "" chém 7 nịnh_thần"
oos	lê_hồng anh được phong làm đại_tướng năm nào
oos	pháo_hoa có xuất_xứ từ khi nào
oos	tư vấn cho anh hóa đơn điện tử máy tính tiền
oos	cây thốt_nốt có khả_năng chịu được thời_tiết nào
oos	zing là gì
oos	tỉnh bình_thuận nằm ở khu_vực địa_lý nào của việt_nam
oos	tháp đôi petronas ở thành_phố kuala lumpur hiện giữ danh_hiệu gì
oos	nguyễn_tấn dũng là ai
oos	hòn chồng hòn vợ là danh_thắng thiên_nhiên nổi_tiếng thuộc tỉnh nào của nước ta
oos	làm thế_nào để phân_biệt gà trống và gà mái
oos	triều nguyễn có tổng_cộng bao_nhiêu vua trị_vì
oos	thị_xã nào hiện là tỉnh_lỵ của đắk_nông
oos	cristiano ronaldo sinh ra tại đâu
oos	trái_đất xuất_hiện cách đây bao_nhiêu năm
oos	tên gọi trà vang có nguồn_gốc từ đâu
